
PRES, HGHT, TEMP, DWPT, RELH, MIXR, DRCT, SKNT, THTA, THTE, THTV
 33.4, 22956, -61.1, -89.1, 1, 0.00, 347, 18, 560.0, 560.1, 560.0
 33.0, 23030, -61.2, -89.0, 1, 0.00, 355, 20, 561.6, 561.6, 561.6
 31.0, 23417, -62.0, -88.2, 2, 0.01, 5, 17, 569.8, 569.9, 569.8
 30.6, 23498, -62.1, -88.1, 2, 0.01, 9, 16, 571.5, 571.6, 571.5
 30.0, 23620, -61.7, -88.7, 2, 0.01, 15, 14, 575.9, 575.9, 575.9
 27.0, 24282, -58.8, -88.1, 1, 0.01, 5, 14, 601.7, 601.7, 601.7
 26.0, 24519, -57.7, -87.9, 1, 0.01, 20, 4, 611.2, 611.2, 611.2
 25.0, 24765, -56.6, -87.7, 1, 0.01, 220, 5, 621.2, 621.3, 621.2
 24.0, 25021, -55.5, -87.5, 1, 0.01, 269, 5, 631.8, 631.8, 631.8
 23.0, 25293, -55.4, -86.7, 1, 0.01, 320, 5, 639.7, 639.8, 639.7
 22.0, 25576, -55.3, -85.8, 1, 0.01, 275, 3, 648.1, 648.3, 648.1
 21.5, 25723, -55.3, -85.3, 1, 0.01, 652.5, 652.7, 652.5

